	Sediment_013	Sediment_014	Sediment_015	Sediment_010	Sediment_011	Sediment_012	Sediment_043	Sediment_044	Sediment_045	Sediment_040	Sediment_041	Sediment_058	Sediment_060	Sediment_055	Sediment_056	Sediment_057	Sediment_004	Sediment_005	Sediment_006	Sediment_001	Sediment_002	Sediment_003	Sediment_007	Sediment_008	Sediment_009	Sediment_034	Sediment_035	Sediment_036	Sediment_031	Sediment_032	Sediment_033	Sediment_037	Sediment_038	Sediment_039	Sediment_049	Sediment_051	Sediment_046	Sediment_047	Sediment_048	Sediment_052	Sediment_053	Sediment_054
ASV.2477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0
ASV.2478	19	9	0	0	15	4	38	48	0	0	0	0	0	0	0	0	0	0	25	0	27	0	0	0	0	50	0	54	47	8	44	0	0	22	0	0	0	0	46	0	0	0
ASV.2479	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	15	0	0	0	0	13	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	18	7	0	0	0
ASV.248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	11	0	0	0	0
ASV.2480	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.2481	0	0	0	0	0	0	0	0	0	3	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.2482	11	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	22	0	0	0	0	0	13	13	0	0	0	0	0	0	3	0	0	0	0	0	21	0	0	5	0
ASV.2483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.2484	0	0	0	6	14	381	0	0	0	0	0	0	57	97	237	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	115	0	0	0	0
ASV.2485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0
ASV.2486	0	101	0	0	0	0	28	40	68	0	33	0	0	0	17	0	0	0	0	0	28	0	30	0	0	70	57	0	29	0	0	23	40	53	39	24	0	0	0	0	0	0
ASV.2487	0	0	32	0	0	16	8	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	35	0	0	39	0	0	0	13	13	0	36	9	0	0	0	0	0	0	0	0
ASV.2488	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.2489	0	0	0	0	0	0	0	30	23	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	19	10	0	0	0	31	14	10	0	0	0	0	21	0	0	0
ASV.249	15	0	0	0	0	8	0	0	0	0	0	0	0	0	11	10	6	21	0	16	15	4	0	0	6	2	12	4	0	0	3	0	0	10	0	8	0	0	7	0	18	0
ASV.2490	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0
ASV.2491	0	0	0	0	0	9	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.2492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	6	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0
ASV.2493	0	0	0	9	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.2494	0	0	0	0	4	5	0	15	10	5	13	0	0	0	0	8	5	16	0	3	0	0	0	7	6	25	12	0	0	7	4	12	5	7	0	0	8	0	0	4	6	0
ASV.2495	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	11	0	0	0	0	0	0	0	0	0
ASV.2496	28	15	0	16	0	12	84	93	88	43	50	0	0	0	0	0	24	12	76	21	0	19	0	29	0	127	80	116	64	81	23	105	87	107	0	0	0	0	106	0	0	0
ASV.2497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	5	6	0	0	0	0	0	22	0	0	0	0	0	5	0	0	0	0	0
ASV.2498	99	44	176	83	199	105	86	77	80	53	55	145	69	71	141	83	121	137	71	91	149	142	100	47	43	100	17	121	53	70	169	41	30	28	83	112	86	94	64	40	36	84
ASV.2499	0	22	0	26	0	16	252	301	271	124	343	0	0	31	0	0	0	18	168	0	0	19	0	0	0	464	313	288	278	111	0	239	212	468	0	0	15	0	401	19	19	24
ASV.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	8	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	16	0
ASV.250	0	0	0	0	0	0	0	0	7	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	9	8	0	0	0	0	0	0	0	0
